A1,A2
127.00393178132947,37.56646005571267
127.01338521581211,37.56524261338819
126.9655248553255,37.604810647467346
127.10335086772008,37.54441301589854
128.2137337213889,38.12641018196874
128.2076078629923,38.22166086152039
127.31341563099498,38.14840252908269
127.44350078572424,38.24263153765219
127.81279742842281,38.05453317502092
127.65541597796533,38.15707132460328
127.70509036017879,38.102755898350615
127.66720881201812,38.05871841570963
127.52256594164855,38.070021371100665
127.98608345787534,38.10530049193701
127.07134470922854,37.54657505346939
128.0338977307177,38.10808508175164
128.04379300239717,38.20160158450304
127.95225148746074,38.207732568259736
128.13747856007444,38.285579931008925
127.43009877623605,36.63246467428878
127.42537869794009,36.626599077529164
127.45637121806146,36.65803503291195
127.37344293749203,36.66600063002636
127.32670399414772,36.6107983096093
127.0801456234806,37.56881009904186
127.36281525130325,36.62385798120882
127.08274048860432,37.56376293154433
127.43365945763748,36.559457670629214
127.42414368998305,36.486862811630374
127.51488320315497,36.62256441162192
127.48943298731419,36.60876330653806
127.49078263186108,36.63664198551031
127.65493791760449,36.63449790584898
127.51193397755428,36.57293450276019
127.49755376001647,36.51358552439314
127.54140623280057,36.56150686553083
127.48802030783855,36.655167381058824
127.08148826236881,37.560258160202565
127.46087707944646,36.63194577377678
127.48572818823644,36.67230429245568
127.42503166330931,36.71477730617643
127.44932014524667,36.73242850224028
127.54043455369822,36.72461122769587
127.93027557223573,36.989551037465915
127.93559313716024,36.97205245458793
127.81959228298311,36.97488174611618
127.923525181484,36.970055463740465
127.914331394594,37.086209244934565
127.75326456655175,37.10815203225516
127.92709987981458,37.04329813674626
127.99002394339746,36.84783078829066
127.85678380453284,37.02927267916371
128.2180991263319,37.153190452109
128.21173972575815,37.1390039170344
128.20223718652886,37.12397259042294
128.16762363316582,37.00052069974895
128.1655981555218,36.90980412956256
128.1982625831675,37.13386877686463
127.08721199571053,37.565361001719026
128.13103946130582,37.13110777757355
127.69161610242702,36.94008342576893
127.59750208898899,36.99180902577068
127.48515575992963,36.96729038383022
127.63648699519214,37.118982539657466
127.5040759250158,37.02118380883336
127.56506817521873,36.9268190533523
127.5464780829141,36.90450176153852
127.78362453236022,36.172524996702634
127.90956000918906,36.224987955133706
127.07164702245589,37.53386717056373
127.91447929817326,36.14974299795017
127.68374650388583,36.09914290960978
127.74814578659294,36.14705542755223
127.82679275221122,36.26622556325698
127.79262067251096,36.80532923061844
127.58382223585937,36.78574035691367
127.86298205240838,36.787756358804714
127.63903196340644,36.77186523707272
127.73546422415774,36.660325791005306
127.8547392988486,36.872239591815315
127.07692111850704,37.53663086916431
127.99801602728637,36.765320213396876
128.36778311637892,36.98017091335626
128.48344087817972,37.07946035616504
